nodes,runtime,partition_gurobi,partition_dac,cost_gurobi,cost_dac,dac_subgraph_size
24,32.932348012924194,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,12
24,32.77546691894531,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,12
24,32.483596086502075,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,12
24,3.8988068103790283,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,12
28,4.8839027881622314,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0000100111011010001101000101,37,28,14
32,3.884709358215332,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",00001011000111010110101111001100,44,32,16
36,3.7935662269592285,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",011111101110000000011011110001110101,49,38,18
40,3.4359047412872314,"[{5, 7, 9, 11, 14, 16, 17, 19, 21, 23, 24, 26, 30, 31, 33, 34, 36, 37, 38}, {0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 18, 20, 22, 25, 27, 28, 29, 32, 35, 39}]",0111100000001100101110110010011101100000,55,40,20
44,3.4845592975616455,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",10011001010110111111101110000100001011000111,62,42,15
48,4.120156288146973,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",100011111010010001110110010010110111110110100101,64,49,16
52,4.405216693878174,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",1101011010000111011010111000010000011100010011111111,70,50,17
56,4.73923134803772,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",10101011001100001110101110100111100010110101101000100011,76,57,19
60,4.272536993026733,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",000101101001001010010001111010101000101000001111000001100011,82,59,20
64,5.862947940826416,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",1110101110111100110000101110001100010001001111000000011111001001,87,58,16
68,6.181093454360962,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",11000111010110010011101001110011110100111011100000110000110111100011,91,65,17
72,5.802549123764038,"[{0, 4, 6, 8, 11, 12, 13, 14, 18, 20, 21, 22, 23, 25, 26, 27, 28, 30, 34, 36, 37, 43, 46, 48, 49, 50, 54, 56, 57, 58, 61, 62, 64, 65, 68, 69}, {1, 2, 3, 5, 7, 9, 10, 15, 16, 17, 19, 24, 29, 31, 32, 33, 35, 38, 39, 40, 41, 42, 44, 45, 47, 51, 52, 53, 55, 59, 60, 63, 66, 67, 70, 71}]",100111001100011010010011100101011110011011110010110000010001111110001001,100,59,18
