nodes,runtime,partition_gurobi,partition_dac,cost_gurobi,cost_dac,dac_subgraph_size,num_layers
24,17.179559469223022,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,8,3
24,15.934573411941528,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,8,4
24,18.621244430541992,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,8,5
24,30.561882495880127,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101000100011111001100,32,22,8,6
24,43.67674422264099,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101000100011111001100,32,22,8,7
28,22.20723867416382,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0000100111000110111011011001,37,30,9,3
28,10.74271821975708,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0000100111000110111011011001,37,30,9,4
28,40.193137407302856,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0000100111000110111011011001,37,30,9,5
28,17.595296382904053,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0000100111000110111011011001,37,30,9,6
28,16.25551199913025,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0000100111000110111011011001,37,30,9,7
32,12.91271710395813,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",00111000111100011111101111001111,44,25,10,3
32,25.803756713867188,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",10101000111100010110010000110011,44,31,10,5
32,71.43842911720276,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",10101000111100010111010000110011,44,34,10,6
32,76.86331510543823,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",10101000111100010110010000110011,44,31,10,7
36,11.039013624191284,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",010001101110010100011011100001001110,49,31,12,3
36,24.928226470947266,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",010001101110100110111010100001001110,49,30,12,4
36,36.51463794708252,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",010001101110010010011011100001001110,49,31,12,5
36,14.25966191291809,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",010001101110010010011011100001001110,49,31,12,6
36,29.292433500289917,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",010001101110010010011011100001001110,49,31,12,7
